,Ticker,Asset Class Sistema,Asset Class,Geography / Subclass,Indice,Market
0,0JKT LN EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,ISHARES TRUST ISHARES MSCI INDIA ETF,India
1,AAXJ US EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,ISHARES MSCI ALL COUNTRY ASIA ES Japan,General
2,ABCHNSA LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,AB SICAV I CHINA A SHARES EQUITY PORTFOLIO,China
3,BGFPABA LN EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,BAILLIE GIFFORD OVERSEAS GROWTH FUNDS ICVC BAILLIE GIFFORD PACIFIC FUND,General
4,CPXJ LN EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,ISHARES MSCI PACIFIC EX Japan UCITS ETF,General
5,CAFINIV LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,AMUNDI FUNDS SBI FM INDIA EQUITY,India
6,FFASAIU LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,FIDELITY FUNDS ASEAN FUND,General
7,FFEMASI LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,FIDELITY FUNDS EMERGING ASIA FUND,General
8,FIASCIU LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,FIDELITY FUNDS ASIAN SMALLER COMPANIES FUND,General
9,GMF US EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,SPDR INDEX SHARES FUNDS SPDR SP EMERGING ASIA PACIFIC ETF,General
10,FRAINIA LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,FRANKLIN TEMPLETON INVESTMENT FUND FRANKLIN INDIA FUND,India
11,FRAINNA LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,FRANKLIN  INDIA FUND CLASS N,India
12,GUIASIA LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,NINETY ONE GLOBAL STRATEGY FUND ASIAN EQUITY FUND,General
13,GSIEPAU LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,GOLDMAN SACHS INDIA EQUITY PORTFOLIO,India
14,GSIERUA LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,GOLDMAN SACHS INDIA EQUITY PORTFOLIO R,India
15,GSINDAI LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,GOLDMAN SACHS FUNDS GOLDMAN SACHS INDIA EQUITY PORTFOLIO,India
16,HEAFUAU ID EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,FEDERATED HERMES INVESTMENT FUNDS PLC FEDERATED HERMES ASIA EX Japan EQUITY FUND,General
17,INAEQSA LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,INVESCO FUNDS SERIES 1 INVESCO ASEAN EQUITY FUND,General
18,HSIFIXC LX EQUITY,RENTA FIJA,RENTA FIJA,Asia ex-Japan,HSBC GLOBAL INVESTMENT FUNDS INDIA FIXED INCOME,India
19,IAACF US EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,ISHARES MSCI CHINA A UCITS ETF,China
20,IEPFIIJ ID EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,RAMS INVESTMENT UNIT TRUST INDIA EQUITIES PORTFOLIO FUND II,India
21,INVASIA LN EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,INVESCO FAR EASTERN INVESTMENT SERIES INVESCO ASIAN FUND(United Kingdom),General
22,ININESA LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,INVESCO FUNDS INVESCO INDIA EQUITY FUND,India
23,JPASIAU LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,JPMORGAN FUNDS ASEAN EQUITY FUND,General
24,JPTACCI LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,JPMORGAN FUNDS TAIWAN FUND,Taiwan
25,JUPAIIA LN EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,JUPITER ASIAN INCOME,General
26,MDRAGCA LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,BGF-ASIAN DRAGON-C2 USD,General
27,NCAFUIA ID EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,NEW CAP ASIA FUTR LDER-USDIA,General
28,JUPIDIA LN EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,JUPITER INDIA FUND,India
29,KIMDCLJ LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,KOTAK FUNDS INDIA MIDCAP FUND,India
30,SCHECAC LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,SCHRODER INTERNATIONAL SELECTION FUND EMERGING ASIA,General
31,SCHPFAA LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,SISF-ASIAN OPPORT-AAC,General
32,SCIEAIZ LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,SCHRODER INTERNATIONAL SELECTION FUND EMERGING ASIA,General
33,NOINEIU ID EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,NOMURA FUNDS IRELAND PLC INDIA EQUITY FUND,India
34,PBIINEY ID EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,PINEBRIDGE GLOBAL FUNDS PINEBRIDGE INDIA EQUITY FUND,India
35,TEMASIU LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,FRANKLIN TEMPLETON INVESTMENT FUNDS TEMPLETON ASIAN SMALLER COMPANIES FUND,General
36,WELASCA LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,WELLINGTON MANAGEMENT FUNDS LUXEMBOURG WELLINGTON ASIAN OPPORTUNITIES FUND,General
37,SCHCHIZ LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,SCHRODER INTERNATIONAL SELECTION FUND CHINA OPPORTUNITIES,China
38,ROQCAEI LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,ROBECO QI CHINESE A SHARE ACTIVE EQUITIES,China
39,BGHY2BI LX EQUITY,RENTA FIJA,RENTA FIJA,Asia ex-Japan,BLACKROCK GLOBAL FUNDS ASIAN HIGH YIELD BOND FUND,General
40,IRFIAAU LX EQUITY,RENTA FIJA,RENTA FIJA,Asia ex-Japan,INVESCO ASI INV GRB FD-AAUSD,General
41,SCISIZU LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,SCHRODER INTERNATIONAL SELECTION FUND INDIAN EQUITY,India
42,MLGDUBA LX EQUITY,RENTA FIJA,RENTA FIJA,Asia ex-Japan,LUMYNA -GLOBAL DEBT-GOVT UCITS FD LUMY GLB DBT GOVNM UCITS USD ACC B,General
43,UTIIDEI ID EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,UTI INDIA DYNAMIC EQUITY FUND,India
44,PIAHYEI ID EQUITY,RENTA FIJA,RENTA FIJA,Asia ex-Japan,PIMCO-ASIA HIGH YLD BD-E INC,General
45,ABCAI2A LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,ABRDN SICAV I CHINA A SHARE SUSTAINABLE EQUITY FUND,China
46,ALLCWUI LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,ALLIANZ GLOBAL INVESTORS FUND ALLIANZ CHINA A SHARES,China
47,ASHR US EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,DBX ETF TRUST DB X TRACKERS HARVEST CSI 300 CHINA A SHARES FUND,China
