Dates,AACCHIA CI EQUITY,BCHDECH CI EQUITY,CCHIACB CI EQUITY,CELFFIB CI EQUITY,CFICOMDP CI EQUITY,CFIETFCC CI EQUITY,CFIMPIO CI EQUITY,CFIQAC CI EQUITY,DCORPCH CI EQUITY,ECH US EQUITY,FALCFIW CI EQUITY,FALCTNV CI EQUITY,IMTDECI CI EQUITY,IMTSCLI CI EQUITY,MBIARANV CI EQUITY,MBIRFANV CI EQUITY,MODUECH CI EQUITY,MRCLP CI EQUITY,TCHIEQB CI EQUITY,TOESCA CI EQUITY
2006-01-02,,,,27237.0666,,,2515.7743,,,,,,,,18836.8168,,,,,
2006-01-03,,,,27165.4857,,,2535.6311,,,,,,,,18807.8964,,,,,
2006-01-04,,,,27266.9662,,,2554.9414,,,,,,,,19210.0804,,,,,
2006-01-05,,,,27326.8131,,,2566.5017,,,,,,,,19549.3991,,,,,
2006-01-06,,,,27502.5781,,,2590.7901,,,,,,,,19861.111,,,,,
2006-01-09,,,,27500.0914,,,2590.8649,,,,,,,,19702.5523,,,,,
2006-01-10,,,,27514.4316,,,2588.2511,,,,,,,,19555.3287,,,,,
2006-01-11,,,,27513.4522,,,2591.6975,,,,,,,,19763.2241,,,,,
2006-01-12,,,,27519.993,,,2604.8445,,,,,,,,19977.4319,,,,,
2006-01-13,,,,27400.539,,,2617.0373,,,,,,,,19934.7009,,,,,
2006-01-16,,,,27382.4989,,,2597.1002,,,,,,,,19770.7602,,,,,
2006-01-17,,,,27316.8147,,,2586.8382,,,,,,,,19735.2902,,,,,
2006-01-18,,,,27326.3103,,,2573.5003,,,,,,,,19476.9442,,,,,
2006-01-19,,,,27387.9986,,,2585.435,,,,,,,,19677.0871,,,,,
2006-01-20,,,,27343.5412,,,2591.4461,,,,,,,,19701.2026,,,,,
2006-01-23,,,,27323.665,,,2577.673,,,,,,,,19484.1855,,,,,
2006-01-24,,,,27341.6602,,,2592.5641,,,,,,,,19389.6917,,,,,
2006-01-25,,,,27405.1234,,,2586.479,,,,,,,,19745.08,,,,,
2006-01-26,,,,27404.6729,,,2590.3107,,,,,,,,19895.9879,,,,,
2006-01-27,,,,27521.2075,,,2601.4764,,,,,,,,19882.9502,,,,,
2006-01-30,,,,27740.1766,,,2604.2752,,,,,,,,19874.7183,,,,,
2006-01-31,,,,27646.1019,,,2611.6009,,,,,,,,19901.1721,,,,,
2006-02-01,,,,27688.8768,,,2614.724,,,,,,,,19879.212,,,,,
2006-02-02,,,,27810.7402,,,2615.2208,,,,,,,,19863.0374,,,,,
2006-02-03,,,,27803.3509,,,2613.8587,,,,,,,,19860.7592,,,,,
2006-02-06,,,,27980.1562,,,2623.7022,,,,,,,,19761.3347,,,,,
2006-02-07,,,,27969.7087,,,2629.1081,,,,,,,,19800.7589,,,,,
2006-02-08,,,,28058.3848,,,2630.1724,,,,,,,,19795.1792,,,,,
2006-02-09,,,,28298.132,,,2641.2692,,,,,,,,19892.0077,,,,,
2006-02-10,,,,28394.8113,,,2646.9906,,,,,,,,20051.677,,,,,
2006-02-13,,,,28340.6033,,,2639.4509,,,,,,,,20110.1923,,,,,
2006-02-14,,,,28273.0964,,,2641.8364,,,,,,,,20083.812,,,,,
2006-02-15,,,,28276.8467,,,2639.6,,,,,,,,20111.0027,,,,,
2006-02-16,,,,28209.9325,,,2632.3226,,,,,,,,19981.8597,,,,,
2006-02-17,,,,28230.5608,,,2627.6318,,,,,,,,19858.1202,,,,,
2006-02-20,,,,28194.9619,,,2623.5704,,,,,,,,19859.1508,,,,,
2006-02-21,,,,28217.3552,,,2623.1942,,,,,,,,19932.4408,,,,,
2006-02-22,,,,28199.4763,,,2633.0909,,,,,,,,20140.1328,,,,,
2006-02-23,,,,28284.99,,,2639.5397,,,,,,,,20257.1018,,,,,
2006-02-24,,,,28303.3101,,,2646.9669,,,,,,,,20333.1019,,,,,
2006-02-27,,,,28388.159,,,2651.9295,,,,,,,,20411.8731,,,,,
2006-02-28,,,,28512.436,,,2666.912,,,,,,,,20537.5165,,,,,
2006-03-01,,,,28594.0571,,,2667.1822,,,,,,,,20467.6316,,,,,
2006-03-02,,,,28594.5043,,,2672.4652,,,,,,,,20465.1205,,,,,
2006-03-03,,,,28753.4064,,,2676.8829,,,,,,,,20494.0308,,,,,
2006-03-06,,,,28765.6563,,,2679.3742,,,,,,,,20453.4982,,,,,
2006-03-07,,,,28743.9171,,,2665.8984,,,,,,,,20374.1451,,,,,
2006-03-08,,,,28734.152,,,2655.9828,,,,,,,,20259.3767,,,,,
2006-03-09,,,,28770.4333,,,2665.9166,,,,,,,,20425.2603,,,,,
2006-03-10,,,,28844.3246,,,2669.2866,,,,,,,,20471.3541,,,,,
2006-03-13,,,,29091.6806,,,2688.8328,,,,,,,,20628.1348,,,,,
2006-03-14,,,,29033.9535,,,2685.8404,,,,,,,,20712.3453,,,,,
2006-03-15,,,,29098.2054,,,2709.8215,,,,,,,,20842.9097,,,,,
2006-03-16,,,,29048.5339,,,2708.6313,,,,,,,,20841.7499,,,,,
2006-03-17,,,,29090.8899,,,2716.6312,,,,,,,,20885.6205,,,,,
2006-03-20,,,,28981.3917,,,2718.4639,,,,,,,,20899.3999,,,,,
2006-03-21,,,,28863.9381,,,2705.9083,,,,,,,,20961.2039,,,,,
2006-03-22,,,,28899.7492,,,2700.9211,,,,,,,,20776.9277,,,,,
2006-03-23,,,,28987.7738,,,2713.6975,,,,,,,,20772.6787,,,,,
2006-03-24,,,,29077.0412,,,2721.5925,,,,,,,,20814.0999,,,,,
2006-03-27,,,,29083.0759,,,2727.101,,,,,,,,20821.3439,,,,,
2006-03-28,,,,29037.4567,,,2725.9865,,,,,,,,20843.7676,,,,,
2006-03-29,,,,29146.2742,,,2730.183,,,,,,,,20895.1262,,,,,
2006-03-30,,,,29143.7228,,,2732.1216,,,,,,,,20913.2121,,,,,
2006-03-31,,,,29341.6831,,,2740.3796,,,,,,,,20968.6394,,,,,
2006-04-03,,,,29497.7459,,,2753.1446,,,,,,,,20880.3847,,,,,
2006-04-04,,,,29501.7081,,,2753.7923,,,,,,,,20749.0075,,,,,
2006-04-05,,,,29497.0983,,,2748.8446,,,,,,,,20723.1132,,,,,
2006-04-06,,,,29615.6258,,,2753.9855,,,,,,,,20812.6446,,,,,
2006-04-07,,,,29704.1754,,,2755.4009,,,,,,,,20783.3474,,,,,
2006-04-10,,,,29653.3913,,,2753.7758,,,,,,,,20659.0883,,,,,
2006-04-11,,,,29578.598,,,2750.1423,,,,,,,,20472.9697,,,,,
2006-04-12,,,,29561.4711,,,2747.7009,,,,,,,,20472.7624,,,,,
2006-04-13,,,,29638.0838,,,2750.1751,,,,,,,,20635.3893,,,,,
2006-04-14,,,,29637.1422,,,2751.8518,,,,,,,,20634.0134,,,,,
2006-04-17,,,,29577.6146,,,2750.8179,,,,,,,,20860.5147,,,,,
2006-04-18,,,,29592.501,,,2764.0281,,,,,,,,21011.1362,,,,,
2006-04-19,,,,29495.198,,,2771.9998,,,,,,,,20969.0547,,,,,
2006-04-20,,,,29569.6607,,,2777.7423,,,,,,,,20997.9302,,,,,
2006-04-21,,,,29564.7706,,,2794.7435,,,,,,,,21052.9494,,,,,
2006-04-24,,,,29773.3761,,,2830.7959,,,,,,,,21069.7546,,,,,
2006-04-25,,,,29898.8782,,,2881.0907,,,,,,,,21216.1075,,,,,
2006-04-26,,,,29989.714,,,2899.2213,,,,,,,,21354.8867,,,,,
2006-04-27,,,,30208.965,,,2910.3259,,,,,,,,21492.5643,,,,,
2006-04-28,,,,30303.9634,,,2908.0605,,,,,,,,21499.896,,,,,
2006-05-01,,,,30301.1874,,,2907.6893,,,,,,,,21496.7441,,,,,
2006-05-02,,,,30436.6881,,,2905.7958,,,,,,,,21578.8293,,,,,
2006-05-03,,,,30469.1946,,,2912.2477,,,,,,,,21562.6914,,,,,
2006-05-04,,,,30366.7733,,,2903.4717,,,,,,,,21419.8827,,,,,
2006-05-05,,,,30440.4159,,,2932.0527,,,,,,,,21513.8315,,,,,
2006-05-08,,,,30468.6167,,,2944.4268,,,,,,,,21641.9759,,,,,
2006-05-09,,,,30493.8818,,,2962.0824,,,,,,,,21681.7693,,,,,
2006-05-10,,,,30635.8578,,,2955.1689,,,,,,,,21665.3601,,,,,
2006-05-11,,,,30843.3992,,,2966.2897,,,,,,,,21657.112,,,,,
2006-05-12,,,,30850.2249,,,2969.4962,,,,,,,,21542.6448,,,,,
2006-05-15,,,,31094.5235,,,2934.6773,,,,,,,,21351.3271,,,,,
2006-05-16,,,,31216.8673,,,2933.544,,,,,,,,21379.5321,,,,,
2006-05-17,,,,31349.461,,,2929.5515,,,,,,,,21136.2849,,,,,
2006-05-18,,,,31263.6791,,,2910.0814,,,,,,,,20993.7193,,,,,
2006-05-19,,,,31292.91,,,2917.0457,,,,,,,,20960.0104,,,,,
2006-05-22,,,,30869.0088,,,2870.6352,,,,,,,,20953.8156,,,,,
2006-05-23,,,,30809.6871,,,2857.7535,,,,,,,,21202.0473,,,,,
2006-05-24,,,,30666.2507,,,2840.9627,,,,,,,,20913.2883,,,,,
2006-05-25,,,,30596.0863,,,2859.7229,,,,,,,,21120.3951,,,,,
2006-05-26,,,,30576.411,,,2850.833,,,,,,,,21159.4087,,,,,
2006-05-29,,,,30607.4426,,,2849.2927,,,,,,,,21058.1101,,,,,
2006-05-30,,,,30551.6749,,,2835.1217,,,,,,,,20801.1638,,,,,
2006-05-31,,,,30437.5381,,,2840.0724,,,,,,,,21222.5047,,,,,
2006-06-01,,,,30406.4294,,,2827.0542,,,,,,,,21330.7574,,,,,
2006-06-02,,,,30454.5538,,,2847.3085,,,,,,,,21445.8522,,,,,
2006-06-05,,,,30441.8651,,,2840.4085,,,,,,,,21518.6379,,,,,
2006-06-06,,,,30688.5724,,,2827.3521,,,,,,,,21315.9712,,,,,
2006-06-07,,,,30394.5706,,,2795.7774,,,,,,,,21195.8208,,,,,
2006-06-08,,,,30268.9018,,,2768.5271,,,,,,,,20877.0498,,,,,
2006-06-09,,,,30247.6779,,,2778.8516,,,,,,,,21131.7949,,,,,
2006-06-12,,,,30244.574,,,2778.5605,,,,,,,,21126.3928,,,,,
2006-06-13,,,,29882.0858,,,2735.0025,,,,,,,,20144.502,,,,,
2006-06-14,,,,29849.5352,,,2687.0576,,,,,,,,19859.4438,,,,,
2006-06-15,,,,29577.052,,,2717.0306,,,,,,,,20609.5537,,,,,
2006-06-16,,,,29582.0918,,,2753.7665,,,,,,,,20848.8145,,,,,
2006-06-19,,,,29557.4793,,,2725.9287,,,,,,,,20693.5968,,,,,
2006-06-20,,,,29489.3307,,,2717.495,,,,,,,,20533.1968,,,,,
2006-06-21,,,,29591.4187,,,2719.4693,,,,,,,,20655.3252,,,,,
2006-06-22,,,,29497.7678,,,2717.589,,,,,,,,20738.4712,,,,,
2006-06-23,,,,29517.7412,,,2725.6259,,,,,,,,20877.3718,,,,,
2006-06-26,,,,29514.7106,,,2725.7899,,,,,,,,20801.463,,,,,
2006-06-27,,,,29596.121,,,2727.749,,,,,,,,20778.987,,,,,
2006-06-28,,,,29597.5436,,,2723.6197,,,,,,,,20722.736,,,,,
2006-06-29,,,,29666.275,,,2746.8074,,,,,,,,21304.6962,,,,,
2006-06-30,,,,29770.475,,,2777.1529,,,,,,,,21460.604,,,,,
2006-07-03,,,,29828.9709,,,2785.188,,,,,,,,21586.0828,,,,,
2006-07-04,,,,29788.7216,,,2784.8159,,,,,,,,21619.8484,,,,,
2006-07-05,,,,29660.0309,,,2762.0941,,,,,,,,21414.1202,,,,,
2006-07-06,,,,29636.4326,,,2758.0763,,,,,,,,21504.3237,,,,,
2006-07-07,,,,29563.4287,,,2749.3935,,,,,,,,21449.3791,,,,,
2006-07-10,,,,29665.6175,,,2743.8144,,,,,,,,21263.6987,,,,,
2006-07-11,,,,29667.6228,,,2743.3199,,,,,,,,21166.4298,,,,,
2006-07-12,,,,29642.2559,,,2743.0956,,,,,,,,21350.2637,,,,,
2006-07-13,,,,29580.0203,,,2733.4488,,,,,,,,21102.7605,,,,,
2006-07-14,,,,29479.159,,,2721.87,,,,,,,,20800.0405,,,,,
2006-07-17,,,,29419.0121,,,2715.2255,,,,,,,,20694.9398,,,,,
2006-07-18,,,,29419.1078,,,2713.5489,,,,,,,,20780.8758,,,,,
2006-07-19,,,,29453.5009,,,2723.8814,,,,,,,,21263.2206,,,,,
2006-07-20,,,,29512.2837,,,2734.9039,,,,,,,,21452.6063,,,,,
2006-07-21,,,,29497.1933,,,2721.4487,,,,,,,,21258.6546,,,,,
2006-07-24,,,,29520.7815,,,2721.8504,,,,,,,,21420.5643,,,,,
2006-07-25,,,,29553.672,,,2722.5151,,,,,,,,21575.8578,,,,,
2006-07-26,,,,29506.7549,,,2724.7389,,,,,,,,21744.8917,,,,,
2006-07-27,,,,29613.2267,,,2738.7372,,,,,,,,21989.0614,,,,,
2006-07-28,,,,29742.47,,,2745.9855,,,,,,,,21986.0749,,,,,
2006-07-31,,,,29856.8405,,,2751.6848,,,,,,,,21913.527,,,,,
2006-08-01,,,,29952.7992,,,2755.4833,,,,,,,,21705.019,,,,,
2006-08-02,,,,30007.1668,,,2777.1465,,,,,,,,21971.7923,,,,,
2006-08-03,,,,30019.4302,,,2781.3303,,,,,,,,21962.4528,,,,,
2006-08-04,,,,29991.3173,,,2797.6373,,,,,,,,22128.6518,,,,,
2006-08-07,,,,29988.2351,,,2794.0409,,,,,,,,22017.6474,,,,,
2006-08-08,,,,29929.2182,,,2793.5959,,,,,,,,22086.6842,,,,,
2006-08-09,,,,29934.293,,,2801.0218,,,,,,,,22204.2498,,,,,
2006-08-10,,,,29972.5014,,,2808.211,,,,,,,,22193.8897,,,,,
2006-08-11,,,,30050.0806,,,2817.5002,,,,,,,,22217.0667,,,,,
2006-08-14,,,,29978.1435,,,2813.1865,,,,,,,,22269.9874,,,,,
2006-08-15,,,,29977.1521,,,2813.0968,,,,,,,,22268.1455,,,,,
2006-08-16,,,,30024.5126,,,2816.6551,,,,,,,,22483.9464,,,,,
2006-08-17,,,,30087.6136,,,2822.9025,,,,,,,,22531.4664,,,,,
2006-08-18,,,,30127.7335,,,2823.4969,,,,,,,,22527.0897,,,,,
2006-08-21,,,,30179.9458,,,2821.9907,,,,,,,,22475.0799,,,,,
2006-08-22,,,,30252.2057,,,2832.3727,,,,,,,,22671.0917,,,,,
2006-08-23,,,,30283.0505,,,2838.4163,,,,,,,,22595.6041,,,,,
2006-08-24,,,,30243.6481,,,2840.1009,,,,,,,,22563.1592,,,,,
2006-08-25,,,,30235.3569,,,2841.1596,,,,,,,,22580.5622,,,,,
2006-08-28,,,,30343.4756,,,2856.4505,,,,,,,,22705.2297,,,,,
2006-08-29,,,,30450.2897,,,2872.3994,,,,,,,,22795.6495,,,,,
2006-08-30,,,,30445.6971,,,2885.5204,,,,,,,,22795.6495,,,,,
